gene,cluster,Name,SwissProt_gene,Product,SwissProt_product,COG_ID,COG_FID,KEGG_ID,KEGG_PID,KEGG_Pathway,GO_ID,GO_Name,GO_Category,EC_number,Pfam_ID
MGYG000000044_00879,3,kefB_2,-,Glutathione-regulated potassium-efflux system protein KefB,-,"COG0569,COG4651,COG0490,COG0475,COG3273",PTPPTPR,ko:K03455,-,-,"GO:0008324,GO:0006813,GO:0015297,GO:0006812,GO:0055085,GO:1902600,GO:0016020",monoatomic cation transmembrane transporter activity;potassium ion transport;antiporter activity;monoatomic cation transport;transmembrane transport;proton transmembrane transport;membrane,"GO_MF,GO_BP,GO_MF,GO_BP,GO_BP,GO_BP,GO_CC",-,"PF00999,PF02080"
MGYG000000044_00882,2,MGYG000000044_00882,-,hypothetical protein,-,COG0071,O,ko:K13993,map04141,Protein processing in endoplasmic reticulum,-,-,-,-,PF00011
MGYG000000044_00884,2,fbaB_2,fbaB,Fructose-bisphosphate aldolase class 1,Fructose-bisphosphate aldolase class 1,COG1830,G,ko:K11645,"map00010,map00030,map00051,map00680,map00710,map01100,map01110,map01120,map01200,map01230,map01130",Glycolysis / Gluconeogenesis;Pentose phosphate pathway;Fructose and mannose metabolism;Methane metabolism;Carbon fixation in photosynthetic organisms;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;Biosynthesis of amino acids;Biosynthesis of antibiotics,"GO:0016829,GO:0004332",lyase activity;fructose-bisphosphate aldolase activity,"GO_MF,GO_MF",4.1.2.13,PF01791
MGYG000000044_00892,0,MGYG000000044_00892,-,hypothetical protein,-,COG0667,HR,-,-,-,-,-,-,-,"PF10518,PF00248"
MGYG000000044_00896,3,susD_1,-,Starch-binding protein SusD,-,-,-,ko:K21572,-,-,GO:0005515,protein binding,GO_MF,-,"PF14322,PF07980"
MGYG000000044_00897,3,susC_7,-,TonB-dependent receptor SusC,-,"COG4771,COG1629,COG4206",PPH,-,-,-,"GO:0009279,GO:0022857,GO:0071702",cell outer membrane;transmembrane transporter activity;organic substance transport,"GO_CC,GO_MF,GO_BP",-,"PF00593,PF07715"
MGYG000000051_02184,1,cutC_2,ybiW,Choline trimethylamine-lyase,Probable dehydratase YbiW,COG1882,C,"ko:K00656,ko:K20038","map00620,map00640,map00650,map01100,map01120",Pyruvate metabolism;Propanoate metabolism;Butanoate metabolism;Metabolic pathways;Microbial metabolism in diverse environments,"GO:0003824,GO:0008861,GO:0005975,GO:0005737",catalytic activity;formate C-acetyltransferase activity;carbohydrate metabolic process;cytoplasm,"GO_MF,GO_MF,GO_BP,GO_CC",4.3.99.4,"PF02901,PF01228"
MGYG000000054_02411,1,MGYG000000054_02411,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000056_00423,1,MGYG000000056_00423,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000066_04209,1,rsxE,rnfE,Electron transport complex subunit RsxE,Na(+)-translocating ferredoxin:NAD(+) oxidoreductase complex subunit E,COG4660,C,ko:K03613,-,-,"GO:0016020,GO:0022900",membrane;electron transport chain,"GO_CC,GO_BP",-,PF02508
MGYG000000077_00354,1,MGYG000000077_00354,trmK,hypothetical protein,tRNA (adenine(22)-N(1))-methyltransferase,COG2384,J,ko:K06967,-,-,GO:0160105,tRNA (adenine(22)-N1)-methyltransferase activity,GO_MF,-,PF12847
MGYG000000083_05777,2,MGYG000000083_05777,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000098_01635,1,MGYG000000098_01635,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000112_01922,4,MGYG000000112_01922,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000119_00567,2,MGYG000000119_00567,-,hypothetical protein,-,"COG0810,COG4942,COG3103,COG3883,COG4991,COG0791,COG0739,COG3584",MDRSSMMS,ko:K21471,-,-,-,-,-,-,-
MGYG000000120_00991,2,MGYG000000120_00991,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000123_05257,2,MGYG000000123_05257,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000126_00774,3,MGYG000000126_00774,-,putative response regulatory protein,-,COG4753,TK,-,-,-,"GO:0000160,GO:0003700,GO:0043565,GO:0006355",phosphorelay signal transduction system;DNA-binding transcription factor activity;sequence-specific DNA binding;regulation of DNA-templated transcription,"GO_BP,GO_MF,GO_MF,GO_BP",-,"PF00072,PF12833"
MGYG000000137_02973,1,MGYG000000137_02973,ywhH,hypothetical protein,Uncharacterized protein YwhH,COG2606,J,-,-,-,GO:0002161,aminoacyl-tRNA editing activity,GO_MF,-,PF04073
MGYG000000138_02970,3,MGYG000000138_02970,-,hypothetical protein,-,COG3505,U,-,-,-,GO:0016020,membrane,GO_CC,-,PF02534
MGYG000000138_02983,3,MGYG000000138_02983,-,hypothetical protein,-,"COG0529,COG4185",PR,-,-,-,"GO:0005524,GO:0016301",ATP binding;kinase activity,"GO_MF,GO_MF",-,PF06414
MGYG000000139_01096,1,rsxA,rnfA,Electron transport complex subunit RsxA,Na(+)-translocating ferredoxin:NAD(+) oxidoreductase complex subunit A,COG4657,C,ko:K03617,-,-,"GO:0016020,GO:0022900",membrane;electron transport chain,"GO_CC,GO_BP",-,PF02508
MGYG000000141_03467,1,MGYG000000141_03467,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000144_02714,1,MGYG000000144_02714,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000144_00846,1,MGYG000000144_00846,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000170_01692,1,thrS,thrS,Threonine--tRNA ligase,Threonine--tRNA ligase,COG0441,J,ko:K01868,map00970,Aminoacyl-tRNA biosynthesis,"GO:0000166,GO:0004812,GO:0005524,GO:0006418,GO:0004829,GO:0006435,GO:0005737,GO:0043039",nucleotide binding;aminoacyl-tRNA ligase activity;ATP binding;tRNA aminoacylation for protein translation;threonine-tRNA ligase activity;threonyl-tRNA aminoacylation;cytoplasm;tRNA aminoacylation,"GO_MF,GO_MF,GO_MF,GO_BP,GO_MF,GO_BP,GO_CC,GO_BP",6.1.1.3,"PF07973,PF02824,PF03129,PF00587"
MGYG000000171_00370,2,MGYG000000171_00370,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,PF14199
MGYG000000172_02046,1,ade_2,ade,Adenine deaminase,Adenine deaminase,COG1001,F,ko:K01486,"map00230,map01100,map01232",Purine metabolism;Metabolic pathways;Nucleotide metabolism,"GO:0000034,GO:0006146,GO:0016787,GO:0016810","adenine deaminase activity;adenine catabolic process;hydrolase activity;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","GO_MF,GO_BP,GO_MF,GO_MF",3.5.4.2,"PF01979,PF13382"
MGYG000000174_00995,1,mfa2,-,Minor fimbrium anchoring subunit Mfa2,-,-,-,-,-,-,-,-,-,-,PF08842
MGYG000000178_00536,1,prkC,-,Serine/threonine-protein kinase PrkC,-,"COG2815,COG0515",MT,ko:K12132,-,-,"GO:0004672,GO:0005524,GO:0006468",protein kinase activity;ATP binding;protein phosphorylation,"GO_MF,GO_MF,GO_BP",2.7.11.1,"PF00069,PF03793"
MGYG000000180_01416,1,MGYG000000180_01416,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000184_02477,2,MGYG000000184_02477,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000191_00395,1,MGYG000000191_00395,-,hypothetical protein,-,"COG0346,COG1363",QEG,-,-,-,-,-,-,-,"PF05343,PF00903"
MGYG000000198_02930,1,dctP_2,-,Solute-binding protein,-,COG1638,G,-,-,-,GO:0055085,transmembrane transport,GO_BP,-,PF03480
MGYG000000211_05070,3,MGYG000000211_05070,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000211_05071,3,MGYG000000211_05071,-,hypothetical protein,-,COG4115,V,-,-,-,"GO:0004519,GO:0006401",endonuclease activity;RNA catabolic process,"GO_MF,GO_BP",-,PF06769
MGYG000000213_04194,2,MGYG000000213_04194,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000215_00319,0,MGYG000000215_00319,-,hypothetical protein,-,COG3577,R,ko:K06985,map04112,Cell cycle - Caulobacter,-,-,-,-,PF13975
MGYG000000222_01340,1,MGYG000000222_01340,jhp_1381,hypothetical protein,36 kDa antigen,COG1566,V,ko:K01993,-,-,-,-,-,-,PF16576
MGYG000000224_00350,1,MGYG000000224_00350,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000238_01904,1,tag,guaA,DNA-3-methyladenine glycosylase 1,Probable GMP synthase [glutamine-hydrolyzing],COG2818,L,ko:K01246,map03410,Base excision repair,"GO:0008725,GO:0006284,GO:0003824,GO:0006281",DNA-3-methyladenine glycosylase activity;base-excision repair;catalytic activity;DNA repair,"GO_MF,GO_BP,GO_MF,GO_BP",3.2.2.20,PF03352
MGYG000000243_02125,2,frdB,-,Fumarate reductase iron-sulfur subunit,-,COG0479,C,ko:K00240,"map00020,map00190,map00650,map00720,map01100,map01110,map01120,map01200,map01130",Citrate cycle (TCA cycle);Oxidative phosphorylation;Butanoate metabolism;Carbon fixation pathways in prokaryotes;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;Biosynthesis of antibiotics,"GO:0051537,GO:0051536,GO:0009055","2 iron, 2 sulfur cluster binding;iron-sulfur cluster binding;electron transfer activity","GO_MF,GO_MF,GO_MF","1.3.5.1,1.3.5.4","PF13085,PF12838"
MGYG000000243_02126,2,frdA,-,Fumarate reductase flavoprotein subunit,-,COG1053,C,ko:K00239,"map00020,map00190,map00650,map00720,map01100,map01110,map01120,map01200,map05134,map01130",Citrate cycle (TCA cycle);Oxidative phosphorylation;Butanoate metabolism;Carbon fixation pathways in prokaryotes;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;Legionellosis;Biosynthesis of antibiotics,GO:0016491,oxidoreductase activity,GO_MF,"1.3.5.4,1.3.5.1","PF00890,PF02910"
MGYG000000243_02127,2,MGYG000000243_02127,-,hypothetical protein,-,-,-,ko:K00241,"map00020,map00190,map00650,map00720,map01100,map01110,map01120,map01200",Citrate cycle (TCA cycle);Oxidative phosphorylation;Butanoate metabolism;Carbon fixation pathways in prokaryotes;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism,GO:0016020,membrane,GO_CC,-,-
MGYG000000243_03231,1,MGYG000000243_03231,-,hypothetical protein,-,"COG2856,COG3093",OV,ko:K18831,-,-,GO:0003677,DNA binding,GO_MF,-,"PF06114,PF01381"
MGYG000000243_01228,2,pnp_1,rpsA,Polyribonucleotide nucleotidyltransferase,Small ribosomal subunit protein bS1,COG0539,J,ko:K02945,map03010,Ribosome,GO:0003676,nucleic acid binding,GO_MF,2.7.7.8,PF00575
MGYG000000243_00727,3,czcA,-,Cobalt-zinc-cadmium resistance protein CzcA,-,COG3696,P,-,-,-,"GO:0022857,GO:0055085,GO:0016020,GO:0008324,GO:0006812",transmembrane transporter activity;transmembrane transport;membrane;monoatomic cation transmembrane transporter activity;monoatomic cation transport,"GO_MF,GO_BP,GO_CC,GO_MF,GO_BP",-,PF00873
MGYG000000243_01805,2,macB_3,-,Macrolide export ATP-binding/permease protein MacB,-,COG0577,V,ko:K02004,-,-,GO:0016020,membrane,GO_CC,3.6.3.-,"PF12704,PF02687"
MGYG000000243_02989,3,MGYG000000243_02989,-,hypothetical protein,-,-,-,ko:K21572,-,-,GO:0005515,protein binding,GO_MF,-,"PF07980,PF14322"
MGYG000000243_03013,3,susC_20,-,TonB-dependent receptor SusC,-,"COG4206,COG1629,COG4771",HPP,-,-,-,-,-,-,-,"PF00593,PF07715,PF13715"
MGYG000000243_02281,2,MGYG000000243_02281,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000243_01331,2,gapA,gapA,Glyceraldehyde-3-phosphate dehydrogenase A,Glyceraldehyde-3-phosphate dehydrogenase,COG0057,G,ko:K00134,"map00010,map00710,map01100,map01110,map01120,map01200,map01230,map04066,map05010,map05130,map05132,map05415,map01130",Glycolysis / Gluconeogenesis;Carbon fixation in photosynthetic organisms;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;Biosynthesis of amino acids;HIF-1 signaling pathway;Alzheimer disease;Pathogenic Escherichia coli infection;Salmonella infection;Diabetic cardiomyopathy;Biosynthesis of antibiotics,"GO:0016620,GO:0050661,GO:0051287,GO:0006006,GO:0006094,GO:0006096,GO:0019682","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor;NADP binding;NAD binding;glucose metabolic process;gluconeogenesis;glycolytic process;glyceraldehyde-3-phosphate metabolic process","GO_MF,GO_MF,GO_MF,GO_BP,GO_BP,GO_BP,GO_BP",1.2.1.12,"PF00044,PF02800"
MGYG000000243_02975,2,rpsO,rpsO,30S ribosomal protein S15,Small ribosomal subunit protein uS15,COG0184,J,ko:K02956,map03010,Ribosome,"GO:0003735,GO:0006412,GO:0005840,GO:0000314,GO:0022627",structural constituent of ribosome;translation;ribosome;organellar small ribosomal subunit;cytosolic small ribosomal subunit,"GO_MF,GO_BP,GO_CC,GO_CC,GO_CC",-,PF00312
MGYG000000243_00572,0,gltA,-,Citrate synthase,-,COG0372,C,"ko:K01647,ko:K01659","map00020,map00630,map01100,map01110,map01120,map01200,map01210,map01230,map00640,map01130",Citrate cycle (TCA cycle);Glyoxylate and dicarboxylate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Propanoate metabolism;Biosynthesis of antibiotics,GO:0046912,"acyltransferase activity, acyl groups converted into alkyl on transfer",GO_MF,"2.3.3.16,2.3.3.1,2.3.3.5",PF00285
MGYG000000243_00573,0,icd,icd,Isocitrate dehydrogenase [NADP],Isocitrate dehydrogenase [NADP],COG0538,C,ko:K00031,"map00020,map00480,map00720,map01100,map01110,map01120,map01200,map01210,map01230,map04146,map05230,map01130",Citrate cycle (TCA cycle);Glutathione metabolism;Carbon fixation pathways in prokaryotes;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Peroxisome;Central carbon metabolism in cancer;Biosynthesis of antibiotics,"GO:0004450,GO:0006099,GO:0000287,GO:0016616,GO:0051287","isocitrate dehydrogenase (NADP+) activity;tricarboxylic acid cycle;magnesium ion binding;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;NAD binding","GO_MF,GO_BP,GO_MF,GO_MF,GO_MF",1.1.1.42,PF00180
MGYG000000243_00574,0,acnD,-,2-methylcitrate dehydratase (2-methyl-trans-aconitate forming),-,COG1048,C,ko:K01681,"map00020,map00630,map00720,map01100,map01110,map01120,map01200,map01210,map01230,map01130",Citrate cycle (TCA cycle);Glyoxylate and dicarboxylate metabolism;Carbon fixation pathways in prokaryotes;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of antibiotics,"GO:0003994,GO:0051539,GO:0006099","aconitate hydratase activity;4 iron, 4 sulfur cluster binding;tricarboxylic acid cycle","GO_MF,GO_MF,GO_BP","4.2.1.117,4.2.1.3","PF00694,PF00330"
MGYG000000243_00603,2,carD,fixA,Caffeyl-CoA reductase-Etf complex subunit CarD,Protein FixA,COG2086,C,ko:K03521,-,-,GO:0009055,electron transfer activity,GO_MF,1.3.1.108,PF01012
MGYG000000243_00604,3,carE,etfA,Caffeyl-CoA reductase-Etf complex subunit CarE,Electron transfer flavoprotein subunit alpha,COG2025,C,ko:K03522,-,-,GO:0055085,transmembrane transport,GO_BP,1.3.1.108,"PF00766,PF07661,PF03544,PF01012"
MGYG000000243_00606,0,caiA,-,Crotonobetainyl-CoA dehydrogenase,-,COG1960,I,-,-,-,"GO:0003995,GO:0016627,GO:0050660","acyl-CoA dehydrogenase activity;oxidoreductase activity, acting on the CH-CH group of donors;flavin adenine dinucleotide binding","GO_MF,GO_MF,GO_MF",1.3.99.-,"PF12186,PF02771,PF02770,PF00441"
MGYG000000243_00634,2,groL,groEL,60 kDa chaperonin,Chaperonin GroEL,COG0459,O,ko:K04077,"map03018,map04212,map04940,map05134,map05152,map05417",RNA degradation;Longevity regulating pathway - worm;Type I diabetes mellitus;Legionellosis;Tuberculosis;Lipid and atherosclerosis,"GO:0140662,GO:0042026,GO:0005524,GO:0006457,GO:0005515,GO:0016887",ATP-dependent protein folding chaperone;protein refolding;ATP binding;protein folding;protein binding;ATP hydrolysis activity,"GO_MF,GO_BP,GO_MF,GO_BP,GO_MF,GO_MF",-,PF00118
MGYG000000243_00699,2,MGYG000000243_00699,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000243_01955,2,rplR,rplR,50S ribosomal protein L18,Large ribosomal subunit protein uL18,COG0256,J,ko:K02881,map03010,Ribosome,"GO:0003735,GO:0006412,GO:0005840,GO:0000315,GO:0022625",structural constituent of ribosome;translation;ribosome;organellar large ribosomal subunit;cytosolic large ribosomal subunit,"GO_MF,GO_BP,GO_CC,GO_CC,GO_CC",-,PF00861
MGYG000000243_01958,0,rpsN,rpsN,30S ribosomal protein S14,Small ribosomal subunit protein uS14,COG0199,J,ko:K02954,map03010,Ribosome,"GO:0003735,GO:0006412,GO:0005840",structural constituent of ribosome;translation;ribosome,"GO_MF,GO_BP,GO_CC",-,PF00253
MGYG000000243_01959,0,rplE,rplE,50S ribosomal protein L5,Large ribosomal subunit protein uL5,COG0094,J,ko:K02931,map03010,Ribosome,"GO:0003735,GO:0006412,GO:0005840",structural constituent of ribosome;translation;ribosome,"GO_MF,GO_BP,GO_CC",-,"PF00673,PF00281"
MGYG000000243_01961,0,rplN,rplN,50S ribosomal protein L14,Large ribosomal subunit protein uL14,COG0093,J,ko:K02874,map03010,Ribosome,"GO:0003735,GO:0006412,GO:0005840,GO:0015934,GO:0003723,GO:0000315,GO:0022625",structural constituent of ribosome;translation;ribosome;large ribosomal subunit;RNA binding;organellar large ribosomal subunit;cytosolic large ribosomal subunit,"GO_MF,GO_BP,GO_CC,GO_CC,GO_MF,GO_CC,GO_CC",-,"PF00238,PF00467,PF17136"
MGYG000000243_01962,0,rpsQ,rpsQ,30S ribosomal protein S17,Small ribosomal subunit protein uS17,COG0186,J,ko:K02961,map03010,Ribosome,"GO:0003735,GO:0006412,GO:0005840",structural constituent of ribosome;translation;ribosome,"GO_MF,GO_BP,GO_CC",-,PF00366
MGYG000000243_01964,0,rplP,rplP,50S ribosomal protein L16,Large ribosomal subunit protein uL16,COG0197,J,ko:K02878,map03010,Ribosome,"GO:0003735,GO:0019843,GO:0006412,GO:0005840,GO:0000315,GO:0022625",structural constituent of ribosome;rRNA binding;translation;ribosome;organellar large ribosomal subunit;cytosolic large ribosomal subunit,"GO_MF,GO_MF,GO_BP,GO_CC,GO_CC,GO_CC",-,PF00252
MGYG000000243_01965,0,rpsC,rpsC,30S ribosomal protein S3,Small ribosomal subunit protein uS3,COG0092,J,ko:K02982,map03010,Ribosome,"GO:0003735,GO:0006412,GO:0003723,GO:0003676,GO:0000312,GO:0022627",structural constituent of ribosome;translation;RNA binding;nucleic acid binding;plastid small ribosomal subunit;cytosolic small ribosomal subunit,"GO_MF,GO_BP,GO_MF,GO_MF,GO_CC,GO_CC",-,"PF07650,PF00189"
MGYG000000243_01966,0,rplV,rplV,50S ribosomal protein L22,Large ribosomal subunit protein uL22,COG0091,J,ko:K02890,map03010,Ribosome,"GO:0003735,GO:0006412,GO:0005840,GO:0015934,GO:0015935,GO:0003723,GO:0000311,GO:0022625",structural constituent of ribosome;translation;ribosome;large ribosomal subunit;small ribosomal subunit;RNA binding;plastid large ribosomal subunit;cytosolic large ribosomal subunit,"GO_MF,GO_BP,GO_CC,GO_CC,GO_CC,GO_MF,GO_CC,GO_CC",-,"PF00237,PF00203"
MGYG000000243_01981,2,rplL,rplL,50S ribosomal protein L7/L12,Large ribosomal subunit protein bL12,COG0222,J,ko:K02935,map03010,Ribosome,"GO:0003735,GO:0006412,GO:0005840,GO:0000315,GO:0022625",structural constituent of ribosome;translation;ribosome;organellar large ribosomal subunit;cytosolic large ribosomal subunit,"GO_MF,GO_BP,GO_CC,GO_CC,GO_CC",-,"PF16320,PF00542"
MGYG000000243_01838,2,pckA,pckA,Phosphoenolpyruvate carboxykinase (ATP),Phosphoenolpyruvate carboxykinase (ATP),COG1866,C,ko:K01610,"map00010,map00020,map00620,map00710,map01100,map01110,map01120,map01200,map01130",Glycolysis / Gluconeogenesis;Citrate cycle (TCA cycle);Pyruvate metabolism;Carbon fixation in photosynthetic organisms;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;Biosynthesis of antibiotics,"GO:0004612,GO:0005524,GO:0006094,GO:0004611,GO:0017076",phosphoenolpyruvate carboxykinase (ATP) activity;ATP binding;gluconeogenesis;phosphoenolpyruvate carboxykinase activity;purine nucleotide binding,"GO_MF,GO_MF,GO_BP,GO_MF,GO_MF",4.1.1.49,PF01293
MGYG000000243_01864,3,rcsC_14,-,Sensor histidine kinase RcsC,-,"COG4977,COG0745,COG2207,COG3292,COG0642",KTKKTT,-,-,-,"GO:0000160,GO:0000155,GO:0007165,GO:0016772,GO:0016310,GO:0005515,GO:0003700,GO:0043565,GO:0006355","phosphorelay signal transduction system;phosphorelay sensor kinase activity;signal transduction;transferase activity, transferring phosphorus-containing groups;phosphorylation;protein binding;DNA-binding transcription factor activity;sequence-specific DNA binding;regulation of DNA-templated transcription","GO_BP,GO_MF,GO_BP,GO_MF,GO_BP,GO_MF,GO_MF,GO_MF,GO_BP",2.7.13.3,"PF00512,PF07494,PF12833,PF07495,PF02518,PF00072"
MGYG000000243_01865,3,MGYG000000243_01865,-,hypothetical protein,-,"COG4206,COG1629,COG4771",HPP,-,-,-,GO:0019867,outer membrane,GO_CC,-,"PF00593,PF07715,PF13715,PF07660"
MGYG000000243_03359,3,MGYG000000243_03359,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000243_02768,0,rpsR,rpsR,30S ribosomal protein S18,Small ribosomal subunit protein bS18,COG0238,J,ko:K02963,map03010,Ribosome,"GO:0003735,GO:0006412,GO:0005840,GO:0000314,GO:0022627",structural constituent of ribosome;translation;ribosome;organellar small ribosomal subunit;cytosolic small ribosomal subunit,"GO_MF,GO_BP,GO_CC,GO_CC,GO_CC",-,PF01084
MGYG000000243_00195,2,MGYG000000243_00195,-,hypothetical protein,-,-,-,-,-,-,"GO:0030170,GO:0031071,GO:0044571",pyridoxal phosphate binding;cysteine desulfurase activity;[2Fe-2S] cluster assembly,"GO_MF,GO_MF,GO_BP",-,"PF00266,PF14057"
MGYG000000243_00196,2,MGYG000000243_00196,-,hypothetical protein,-,COG0822,O,-,-,-,-,-,-,-,-
MGYG000000243_00373,2,nqrD,nqrD,Na(+)-translocating NADH-quinone reductase subunit D,Na(+)-translocating NADH-quinone reductase subunit D,COG1347,C,ko:K00349,-,-,"GO:0016020,GO:0016655","membrane;oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","GO_CC,GO_MF",1.6.5.8,PF02508
